City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,port mathurin,-19.6833,63.4167,22.93,81,47,9.57,MU,1696152525
155,kidal,18.4411,1.4078,35.65,15,64,6.82,ML,1696152526
156,timimoun,29.2639,0.231,29.21,24,0,11.32,DZ,1696152526
157,utrik,11.2278,169.8474,27.75,76,100,3.94,MH,1696152527
158,progreso,21.2833,-89.6667,25.62,89,100,2.88,MX,1696152527
159,fauske,67.2588,15.3918,10.02,94,100,3.58,NO,1696152344
160,bonthe,7.5264,-12.505,26.12,87,100,2.4,SL,1696152527
161,eregli,37.5133,34.0467,21.63,47,88,2.59,TR,1696152528
162,quang ngai,15.1167,108.8,29.16,78,95,3.51,VN,1696152461
163,kenai,60.5544,-151.2583,8.41,74,100,10.29,US,1696152528
164,srikakulam,18.3,83.9,32.0,66,99,4.49,IN,1696152529
165,matoury,4.8483,-52.3317,22.98,100,0,0.0,GF,1696152529
166,ambon,-3.6954,128.1814,29.37,95,20,2.06,ID,1696152529
167,marsabit,2.3284,37.9899,26.06,40,4,8.19,KE,1696152530
168,moranbah,-22.0016,148.0466,21.13,63,10,7.64,AU,1696152530
169,hotan,37.0997,79.9269,23.43,19,0,1.74,CN,1696152530
170,mormugao,15.4,73.8,26.19,81,100,8.43,IN,1696152531
171,milagros,12.2181,123.5095,28.22,84,100,4.29,PH,1696152531
172,altai,46.3722,96.2583,6.7,64,96,4.72,MN,1696152532
173,padang,-0.9492,100.3543,29.03,83,81,3.55,ID,1696152532
174,kibre mengist,5.8833,38.9833,20.15,80,78,1.97,ET,1696152533
175,yomju-up,39.8933,124.5981,17.44,54,0,2.75,KP,1696152533
176,borba,-4.3878,-59.5939,24.16,55,100,0.91,BR,1696152533
177,sucre,-19.0333,-65.2627,12.18,79,99,2.45,BO,1696152534
178,guayaramerin,-10.8368,-65.3614,23.19,94,80,0.47,BO,1696152534
179,lorengau,-2.0226,147.2712,27.17,81,11,2.68,PG,1696152534
180,katsuren-haebaru,26.3369,127.8719,29.43,81,20,5.14,JP,1696152535
181,jamestown,42.097,-79.2353,14.77,100,100,0.45,US,1696152535
182,nova vicosa,-17.8919,-39.3719,22.82,74,97,2.34,BR,1696152536
183,manokwari,-0.8667,134.0833,26.87,84,80,6.9,ID,1696152536
184,east ballina,-28.8667,153.5833,21.0,70,19,9.06,AU,1696152536
185,hawaiian paradise park,19.5933,-154.9731,23.73,93,75,2.57,US,1696152537
186,labytnangi,66.6572,66.4183,5.59,92,100,2.49,RU,1696152537
187,st. john's,47.5649,-52.7093,9.98,92,20,5.66,CA,1696152537
188,tazovsky,67.4667,78.7,2.51,65,100,6.48,RU,1696152206
189,tralee,52.2704,-9.7026,16.14,82,40,3.6,IE,1696152538
190,dudinka,69.4058,86.1778,-6.29,90,18,2.24,RU,1696152538
191,mahina,-17.5065,-149.489,24.87,78,0,2.06,PF,1696152539
192,oliver,49.1831,-119.5524,9.95,71,5,1.03,CA,1696152539
193,tamanrasset,22.785,5.5228,28.95,20,40,4.12,DZ,1696152539
194,big rapids,43.6981,-85.4837,14.95,100,100,0.0,US,1696152540
195,pingliang,35.5392,106.6861,13.48,70,100,3.6,CN,1696152540
196,hithadhoo,-0.6,73.0833,28.03,72,62,6.95,MV,1696152313
197,puerto armuelles,8.2833,-82.8667,27.27,85,79,2.24,PA,1696152541
198,kavaratti,10.5669,72.642,27.92,79,100,7.54,IN,1696152541
199,port blair,11.6667,92.75,28.02,83,100,5.14,IN,1696152541
200,ilulissat,69.2167,-51.1,-1.99,59,55,3.6,GL,1696152249
201,kargasok,59.0556,80.8572,4.98,48,90,3.58,RU,1696152542
202,luderitz,-26.6481,15.1594,22.19,48,0,6.72,NA,1696152542
203,ambam,2.3833,11.2833,23.51,86,100,0.82,CM,1696152543
204,ribeira grande,38.5167,-28.7,20.43,72,20,2.24,PT,1696152543
205,kone,-21.0595,164.8658,19.5,72,99,3.05,NC,1696152543
206,duong dong,10.2167,103.9667,31.0,79,40,7.2,VN,1696152544
207,nuku'alofa,-21.1333,-175.2,21.19,73,20,6.17,TO,1696152544
208,kourou,5.1552,-52.6478,23.03,90,100,3.49,GF,1696152544
209,callao,-12.0667,-77.15,18.73,82,75,5.14,PE,1696152545
210,arhavi,41.3492,41.3069,24.95,82,54,1.5,TR,1696152545
211,noumea,-22.2763,166.4572,19.99,71,82,5.78,NC,1696151907
212,port douglas,-16.4833,145.4667,22.59,75,8,5.09,AU,1696152545
213,yanchep,-31.55,115.6833,19.97,71,80,7.8,AU,1696152546
214,georgetown,5.4112,100.3354,30.97,74,20,3.6,MY,1696152546
215,lengshuitan,26.4111,111.5956,28.48,64,96,2.76,CN,1696152547
216,gamba,-2.65,10.0,26.78,76,70,3.84,GA,1696152547
217,auki,-8.7676,160.7034,25.51,85,100,2.26,SB,1696152547
218,queenstown,-31.8976,26.8753,13.11,41,5,3.1,ZA,1696152548
219,klaksvik,62.2266,-6.589,10.51,94,99,15.86,FO,1696152548
220,cam ranh,11.9214,109.1591,26.98,94,75,5.66,VN,1696152548
221,quellon,-43.1167,-73.6167,6.59,93,100,1.93,CL,1696152549
222,la mira tumbiscatio,18.6833,-102.2833,22.76,92,26,1.33,MX,1696152549
223,rodino,52.5,80.25,11.08,70,96,2.46,RU,1696152549
224,buncrana,55.1333,-7.45,14.87,87,60,4.81,IE,1696152281
225,tadmur,34.5608,38.2805,24.51,50,100,1.53,SY,1696152550
226,fonte boa,-2.4959,-66.2662,22.88,98,99,0.83,BR,1696152550
227,tangalle,6.024,80.7911,27.09,80,100,4.04,LK,1696152551
228,haiku-pauwela,20.9219,-156.3051,25.02,73,0,9.26,US,1696152551
229,lebu,-37.6167,-73.65,9.93,85,100,3.99,CL,1696152551
230,villa canas,-34.0057,-61.6076,3.86,85,0,3.31,AR,1696152552
231,selfoss,63.9331,-20.9971,8.36,77,100,6.17,IS,1696152552
232,itoman,26.1247,127.6694,29.43,77,20,8.75,JP,1696152553
233,amsterdam,52.374,4.8897,19.95,76,75,5.66,NL,1696152124
234,pedersore,63.65,22.6833,11.07,94,100,7.88,FI,1696152553
235,rio grande,-32.035,-52.0986,4.97,87,0,2.48,BR,1696152554
236,ocos,14.5094,-92.1933,26.76,79,100,1.78,GT,1696152554
237,fale old settlement,-9.3852,-171.2468,28.8,72,63,3.01,TK,1696152554
